nation,condition,year,sex,asdr,Unnamed: 5
England,all_cvd,1991,Female,542.7046,
England,all_cvd,1993,Female,521.2796,
England,all_cvd,1994,Female,485.7970902985223,
England,all_cvd,1995,Female,477.4457854639327,
England,all_cvd,1996,Female,468.6846441901858,
England,all_cvd,1997,Female,448.89899192627956,
England,all_cvd,1998,Female,440.8409429955053,
England,all_cvd,1999,Female,421.25247689335436,
England,all_cvd,2000,Female,394.7374602768325,
England,all_cvd,2001,Female,405.4800819772493,
England,all_cvd,2002,Female,398.24908079551295,
England,all_cvd,2003,Female,391.75540369918815,
England,all_cvd,2004,Female,359.78338319633366,
England,all_cvd,2005,Female,341.0327092197865,
England,all_cvd,2006,Female,319.16428956523305,
England,all_cvd,2007,Female,307.433174466423,
England,all_cvd,2008,Female,303.1404888026271,
England,all_cvd,2009,Female,280.5555927216362,
England,all_cvd,2010,Female,270.9519728982443,
England,all_cvd,2011,Female,249.46093230203613,
England,all_cvd,2012,Female,247.64093445930914,
England,all_cvd,2013,Female,240.090321225644,
England,all_cvd,2014,Female,228.12374903854328,
England,all_cvd,2015,Female,233.26096623615487,
England,all_cvd,2016,Female,220.41604986828773,
England,all_cvd,2017,Female,217.66793353319233,
England,all_cvd,2018,Female,210.47309321988627,
England,all_cvd,2019,Female,200.1282624460687,
England,chd,1971,Male,632.2634,
England,chd,1973,Male,651.5593,
England,chd,1975,Male,648.3201,
England,chd,1977,Male,640.2222,
England,chd,1979,Male,629.226,
England,chd,1981,Male,611.1862,
England,chd,1983,Male,603.897,
England,chd,1985,Male,611.1141,
England,chd,1987,Male,566.6395,
England,chd,1989,Male,536.5577,
England,chd,1991,Male,521.5409,
England,chd,1993,Male,498.0462,
England,chd,1994,Male,458.18007069556336,
England,chd,1995,Male,447.4533143039986,
England,chd,1996,Male,431.8769820818348,
England,chd,1997,Male,407.00356723632143,
England,chd,1998,Male,394.0107808573859,
England,chd,1999,Male,372.0991583767876,
England,chd,2000,Male,351.97453710094294,
England,chd,2001,Male,340.4464897758173,
England,chd,2002,Male,327.68210758456337,
England,chd,2003,Male,311.61524421010995,
England,chd,2004,Male,289.2847323912883,
England,chd,2005,Male,270.7008716770399,
England,chd,2006,Male,250.8130882981778,
England,chd,2007,Male,238.40453713992417,
England,chd,2008,Male,226.50877252479472,
England,chd,2009,Male,211.25797925713732,
England,chd,2010,Male,203.28910539129078,
England,chd,2011,Male,183.17861861255042,
England,chd,2012,Male,177.63028098334922,
England,chd,2013,Male,174.68562984357354,
England,chd,2014,Male,162.96641180890353,
England,chd,2015,Male,161.51732842124744,
England,chd,2016,Male,150.74924722077083,
England,chd,2017,Male,149.65624853731057,
England,chd,2018,Male,143.72463376691783,
England,chd,2019,Male,137.6147111917024,
England,chd,1969,Female,,
England,chd,1971,Female,316.2519,
England,chd,1973,Female,330.5972,
England,chd,1975,Female,325.9017,
England,chd,1977,Female,321.8176,
England,chd,1979,Female,304.9761,
England,chd,1981,Female,300.6712,
England,chd,1983,Female,297.2569,
England,chd,1985,Female,307.7126,
England,chd,1987,Female,286.0981,
England,chd,1989,Female,277.8279,
England,chd,1991,Female,273.4628,
England,chd,1993,Female,260.4347,
England,chd,1994,Female,239.79755188211755,
England,chd,1995,Female,230.81331049799934,
England,chd,1996,Female,223.6394102655843,
England,chd,1997,Female,211.68806534385726,
England,chd,1998,Female,206.69072700922885,
England,chd,1999,Female,193.0183840826621,
England,chd,2000,Female,179.6480278619701,
England,chd,2001,Female,174.91890427264147,
England,chd,2002,Female,168.85886914720888,
England,chd,2003,Female,163.83696601803982,
England,chd,2004,Female,149.0345697074068,
England,chd,2005,Female,139.09557622643817,
England,chd,2006,Female,128.18899261029617,
England,chd,2007,Female,121.66263829383401,
England,chd,2008,Female,116.33222607403914,
England,chd,2009,Female,104.81325551238358,
England,chd,2010,Female,98.6981139539208,
England,chd,2011,Female,88.18400663313346,
England,chd,2012,Female,86.52525463036181,
England,chd,2013,Female,83.36195818005864,
England,chd,2014,Female,76.10319395758285,
England,chd,2015,Female,75.01322342806611,
England,chd,2016,Female,68.92742274953112,
England,chd,2017,Female,67.25609214310082,
England,chd,2018,Female,62.18611732686944,
England,chd,2019,Female,59.99209031210389,
England,stroke,1969,Male,306.9765,
England,stroke,1971,Male,297.4583,
England,stroke,1973,Male,289.9443,
England,stroke,1975,Male,268.2942,
England,stroke,1977,Male,242.9467,
England,stroke,1979,Male,242.6187,
England,stroke,1981,Male,220.0419,
England,stroke,1983,Male,205.7564,
England,stroke,1985,Male,218.5819,
England,stroke,1987,Male,197.7436,
England,stroke,1989,Male,189.8871,
England,stroke,1991,Male,188.6407,
England,stroke,1993,Male,159.8409,
England,stroke,1994,Male,151.20427379490872,
England,stroke,1995,Male,150.51672343213596,
England,stroke,1996,Male,150.30715736962884,
England,stroke,1997,Male,144.29806172736815,
England,stroke,1998,Male,140.7417387608242,
England,stroke,1999,Male,134.15578137303433,
England,stroke,2000,Male,124.2095397855721,
England,stroke,2001,Male,143.8612100827183,
England,stroke,2002,Male,145.09653863972304,
England,stroke,2003,Male,137.8910630103909,
England,stroke,2004,Male,125.26627150443078,
England,stroke,2005,Male,116.9147667524369,
England,stroke,2006,Male,111.41124473044958,
England,stroke,2007,Male,103.60744874597535,
England,stroke,2008,Male,102.43177425510954,
England,stroke,2009,Male,93.88358981911642,
England,stroke,2010,Male,91.43710480714581,
England,stroke,2011,Male,75.264931181209,
England,stroke,2012,Male,71.4555542885899,
England,stroke,2013,Male,68.7251313052107,
England,stroke,2014,Male,67.40918037419942,
England,stroke,2015,Male,67.30913734657695,
England,stroke,2016,Male,62.72965310997065,
England,stroke,2017,Male,59.551015948940105,
England,stroke,2018,Male,57.221115401428285,
England,stroke,2019,Male,54.28996696559682,
England,stroke,1969,Female,278.0431,
England,stroke,1971,Female,267.5775,
England,stroke,1973,Female,262.8578,
England,stroke,1975,Female,245.2563,
England,stroke,1977,Female,226.8575,
England,stroke,1979,Female,222.7136,
England,stroke,1981,Female,201.3562,
England,stroke,1983,Female,191.0855,
England,stroke,1985,Female,199.3091,
England,stroke,1987,Female,183.7248,
England,stroke,1989,Female,173.7548,
England,stroke,1991,Female,170.0999,
England,stroke,1993,Female,148.8489,
England,stroke,1994,Female,141.3854087670089,
England,stroke,1995,Female,141.2323652971802,
England,stroke,1996,Female,140.79142461896294,
England,stroke,1997,Female,134.63820486751928,
England,stroke,1998,Female,132.98297149448405,
England,stroke,1999,Female,129.71362374718728,
England,stroke,2000,Female,119.66633815201219,
England,stroke,2001,Female,131.95676460665774,
England,stroke,2002,Female,131.2456967120761,
England,stroke,2003,Female,128.75236035606406,
England,stroke,2004,Female,117.00199121561401,
England,stroke,2005,Female,110.73443657652183,
England,stroke,2006,Female,103.27152172348552,
England,stroke,2007,Female,98.80970236868248,
England,stroke,2008,Female,97.32633157633725,
England,stroke,2009,Female,89.49562514529202,
England,stroke,2010,Female,87.10187532947499,
England,stroke,2011,Female,70.35512224334757,
England,stroke,2012,Female,69.12330962169459,
England,stroke,2013,Female,65.07698552100572,
England,stroke,2014,Female,61.313288930829216,
England,stroke,2015,Female,62.69286596605665,
England,stroke,2016,Female,56.69871251831962,
England,stroke,2017,Female,54.68025494280014,
England,stroke,2018,Female,52.861016313236824,
England,stroke,2019,Female,48.50806833867926,
Northern Ireland,all_cvd,1969,Male,1423.198,
Northern Ireland,all_cvd,1971,Male,1508.222,
Northern Ireland,all_cvd,1973,Male,1545.672,
Northern Ireland,all_cvd,1975,Male,1427.916,
Northern Ireland,all_cvd,1977,Male,1509.581,
Northern Ireland,all_cvd,1979,Male,1435.116,
Northern Ireland,all_cvd,1981,Male,1247.311,
Northern Ireland,all_cvd,1983,Male,1142.095,
Northern Ireland,all_cvd,1985,Male,1061.943,
Northern Ireland,all_cvd,1987,Male,990.8415,
Northern Ireland,all_cvd,1989,Male,962.9438,
Northern Ireland,all_cvd,1991,Male,865.9388,
Northern Ireland,all_cvd,1993,Male,864.5191,
Northern Ireland,all_cvd,1994,Male,848.2946492854875,
Northern Ireland,all_cvd,1995,Male,834.1402590169531,
Northern Ireland,all_cvd,1996,Male,789.0554156298791,
Northern Ireland,all_cvd,1997,Male,773.8398764574015,
Northern Ireland,all_cvd,1998,Male,735.9984814816797,
Northern Ireland,all_cvd,1999,Male,731.478460800771,
Northern Ireland,all_cvd,2000,Male,652.5780202532568,
Northern Ireland,all_cvd,2001,Male,659.3940102604712,
Northern Ireland,all_cvd,2002,Male,629.0461892856042,
Northern Ireland,all_cvd,2003,Male,592.009618211997,
Northern Ireland,all_cvd,2004,Male,561.144189643209,
Northern Ireland,all_cvd,2005,Male,535.1447513334747,
Northern Ireland,all_cvd,2006,Male,494.0975464534505,
Northern Ireland,all_cvd,2007,Male,499.6935999322498,
Northern Ireland,all_cvd,2008,Male,479.41157863265386,
Northern Ireland,all_cvd,2009,Male,436.66629422242227,
Northern Ireland,all_cvd,2010,Male,430.53973169040785,
Northern Ireland,all_cvd,2011,Male,389.2343736608931,
Northern Ireland,all_cvd,2012,Male,372.74295750796,
Northern Ireland,all_cvd,2013,Male,362.4799061580679,
Northern Ireland,all_cvd,2014,Male,343.1125011245778,
Northern Ireland,all_cvd,2015,Male,342.1170092753374,
Northern Ireland,all_cvd,2016,Male,318.9001907401456,
Northern Ireland,all_cvd,2017,Male,335.09744519811517,
Northern Ireland,all_cvd,2018,Male,313.0109532644644,
Northern Ireland,all_cvd,2019,Male,310.84180661439507,
Northern Ireland,all_cvd,1969,Female,1061.935,
Northern Ireland,all_cvd,1971,Female,1029.305,
Northern Ireland,all_cvd,1973,Female,1046.811,
Northern Ireland,all_cvd,1975,Female,960.981,
Northern Ireland,all_cvd,1977,Female,969.1129,
Northern Ireland,all_cvd,1979,Female,903.8564,
Northern Ireland,all_cvd,1981,Female,785.722,
Northern Ireland,all_cvd,1983,Female,742.8849,
Northern Ireland,all_cvd,1985,Female,713.142,
Northern Ireland,all_cvd,1987,Female,651.5502,
Northern Ireland,all_cvd,1989,Female,614.9804,
Northern Ireland,all_cvd,1991,Female,565.1122,
Northern Ireland,all_cvd,1993,Female,558.3378,
Northern Ireland,all_cvd,1994,Female,570.2572301883081,
Northern Ireland,all_cvd,1995,Female,546.5319462946989,
Northern Ireland,all_cvd,1996,Female,520.7790050589488,
Northern Ireland,all_cvd,1997,Female,497.0043897519678,
Northern Ireland,all_cvd,1998,Female,486.01311981650514,
Northern Ireland,all_cvd,1999,Female,499.0175791353615,
Northern Ireland,all_cvd,2000,Female,443.4152685571628,
Northern Ireland,all_cvd,2001,Female,447.20152633827524,
Northern Ireland,all_cvd,2002,Female,436.5455417221155,
Northern Ireland,all_cvd,2003,Female,407.0987812799388,
Northern Ireland,all_cvd,2004,Female,385.7168910480999,
Northern Ireland,all_cvd,2005,Female,353.70919232224475,
Northern Ireland,all_cvd,2006,Female,347.42331995494857,
Northern Ireland,all_cvd,2007,Female,329.09913230206763,
Northern Ireland,all_cvd,2008,Female,320.10269200078125,
Northern Ireland,all_cvd,2009,Female,300.20402035855705,
Northern Ireland,all_cvd,2010,Female,284.64428752822135,
Northern Ireland,all_cvd,2011,Female,257.1587375112918,
Northern Ireland,all_cvd,2012,Female,261.0555311531829,
Northern Ireland,all_cvd,2013,Female,248.80517002034884,
Northern Ireland,all_cvd,2014,Female,228.66413702575053,
Northern Ireland,all_cvd,2015,Female,229.79512326239288,
Northern Ireland,all_cvd,2016,Female,219.47499153274651,
Northern Ireland,all_cvd,2017,Female,218.1734758779583,
Northern Ireland,all_cvd,2018,Female,208.5571668865114,
Northern Ireland,all_cvd,2019,Female,204.2705691286237,
Northern Ireland,chd,1969,Male,,
Northern Ireland,chd,1971,Male,-,
Northern Ireland,chd,1973,Male,-,
Northern Ireland,chd,1975,Male,785.827,
Northern Ireland,chd,1977,Male,855.5481,
Northern Ireland,chd,1979,Male,799.5095,
Northern Ireland,chd,1981,Male,747.2279,
Northern Ireland,chd,1983,Male,721.5676,
Northern Ireland,chd,1985,Male,675.2354,
Northern Ireland,chd,1987,Male,637.3665,
Northern Ireland,chd,1989,Male,627.8387,
Northern Ireland,chd,1991,Male,574.1066,
Northern Ireland,chd,1993,Male,551.6044,
Northern Ireland,chd,1994,Male,538.9143406274894,
Northern Ireland,chd,1995,Male,526.5436302246758,
Northern Ireland,chd,1996,Male,489.10522893737925,
Northern Ireland,chd,1997,Male,482.40581357372923,
Northern Ireland,chd,1998,Male,463.98558293748295,
Northern Ireland,chd,1999,Male,446.4378953029406,
Northern Ireland,chd,2000,Male,407.0170067546771,
Northern Ireland,chd,2001,Male,386.5639323450615,
Northern Ireland,chd,2002,Male,348.5862623862021,
Northern Ireland,chd,2003,Male,340.4026014169386,
Northern Ireland,chd,2004,Male,323.16495573623325,
Northern Ireland,chd,2005,Male,319.8145314092371,
Northern Ireland,chd,2006,Male,283.9500858388801,
Northern Ireland,chd,2007,Male,283.1209365745992,
Northern Ireland,chd,2008,Male,268.69297796546937,
Northern Ireland,chd,2009,Male,247.3517428180255,
Northern Ireland,chd,2010,Male,240.50716247892632,
Northern Ireland,chd,2011,Male,212.94869091521988,
Northern Ireland,chd,2012,Male,202.09058810738466,
Northern Ireland,chd,2013,Male,188.45021897288925,
Northern Ireland,chd,2014,Male,178.3958770270222,
Northern Ireland,chd,2015,Male,172.94788532646976,
Northern Ireland,chd,2016,Male,152.87545916933652,
Northern Ireland,chd,2017,Male,158.52767731422563,
Northern Ireland,chd,2018,Male,142.3915383458677,
Northern Ireland,chd,2019,Male,144.457397849303,
Northern Ireland,chd,1969,Female,,
Northern Ireland,chd,1971,Female,-,
Northern Ireland,chd,1973,Female,-,
Northern Ireland,chd,1975,Female,408.4939,
Northern Ireland,chd,1977,Female,427.9182,
Northern Ireland,chd,1979,Female,393.9103,
Northern Ireland,chd,1981,Female,366.9242,
Northern Ireland,chd,1983,Female,355.0284,
Northern Ireland,chd,1985,Female,359.7323,
Northern Ireland,chd,1987,Female,333.6891,
Northern Ireland,chd,1989,Female,327.2025,
Northern Ireland,chd,1991,Female,296.5229,
Northern Ireland,chd,1993,Female,294.1455,
Northern Ireland,chd,1994,Female,301.4332591091022,
Northern Ireland,chd,1995,Female,289.4265350767721,
Northern Ireland,chd,1996,Female,270.4860041565847,
Northern Ireland,chd,1997,Female,252.92121053508066,
Northern Ireland,chd,1998,Female,244.6609540698105,
Northern Ireland,chd,1999,Female,239.4486229758193,
Northern Ireland,chd,2000,Female,214.85695990396368,
Northern Ireland,chd,2001,Female,210.96743354736384,
Northern Ireland,chd,2002,Female,196.97737487800583,
Northern Ireland,chd,2003,Female,184.45484675594636,
Northern Ireland,chd,2004,Female,174.3081302746378,
Northern Ireland,chd,2005,Female,164.37052215677076,
Northern Ireland,chd,2006,Female,156.67116477483867,
Northern Ireland,chd,2007,Female,144.6632590802025,
Northern Ireland,chd,2008,Female,137.72874410076264,
Northern Ireland,chd,2009,Female,131.59836194494207,
Northern Ireland,chd,2010,Female,120.80089077023635,
Northern Ireland,chd,2011,Female,96.75726902534963,
Northern Ireland,chd,2012,Female,99.69681319749435,
Northern Ireland,chd,2013,Female,95.98853058304178,
Northern Ireland,chd,2014,Female,83.6851213558809,
Northern Ireland,chd,2015,Female,86.54826262783047,
Northern Ireland,chd,2016,Female,71.36366682060826,
Northern Ireland,chd,2017,Female,71.19637191399643,
Northern Ireland,chd,2018,Female,61.29551454022696,
Northern Ireland,chd,2019,Female,64.85432090827561,
Northern Ireland,stroke,1969,Male,333.784,
Northern Ireland,stroke,1971,Male,385.9849,
Northern Ireland,stroke,1973,Male,413.26,
Northern Ireland,stroke,1975,Male,327.5876,
Northern Ireland,stroke,1977,Male,344.1632,
Northern Ireland,stroke,1979,Male,340.6658,
Northern Ireland,stroke,1981,Male,240.1101,
Northern Ireland,stroke,1983,Male,235.1606,
Northern Ireland,stroke,1985,Male,222.765,
Northern Ireland,stroke,1987,Male,202.2068,
Northern Ireland,stroke,1989,Male,198.3829,
Northern Ireland,stroke,1991,Male,172.0101,
Northern Ireland,stroke,1993,Male,201.3752,
Northern Ireland,stroke,1994,Male,174.80592466554992,
Northern Ireland,stroke,1995,Male,174.065878736665,
Northern Ireland,stroke,1996,Male,162.80480923510984,
Northern Ireland,stroke,1997,Male,171.37533163614106,
Northern Ireland,stroke,1998,Male,153.45556800658963,
Northern Ireland,stroke,1999,Male,164.65922599539675,
Northern Ireland,stroke,2000,Male,134.09513187292143,
Northern Ireland,stroke,2001,Male,150.71303393541692,
Northern Ireland,stroke,2002,Male,147.1120153296176,
Northern Ireland,stroke,2003,Male,145.67801411889806,
Northern Ireland,stroke,2004,Male,135.6064731392943,
Northern Ireland,stroke,2005,Male,117.26611320457805,
Northern Ireland,stroke,2006,Male,116.9916828095181,
Northern Ireland,stroke,2007,Male,115.92081731914959,
Northern Ireland,stroke,2008,Male,113.54302245443019,
Northern Ireland,stroke,2009,Male,94.71817763559997,
Northern Ireland,stroke,2010,Male,100.30876743802929,
Northern Ireland,stroke,2011,Male,81.74085365013688,
Northern Ireland,stroke,2012,Male,76.96324042501698,
Northern Ireland,stroke,2013,Male,81.50633220831925,
Northern Ireland,stroke,2014,Male,75.80100998010045,
Northern Ireland,stroke,2015,Male,75.58474507413952,
Northern Ireland,stroke,2016,Male,74.13961741354096,
Northern Ireland,stroke,2017,Male,70.7070074132853,
Northern Ireland,stroke,2018,Male,64.70373524131384,
Northern Ireland,stroke,2019,Male,57.85798682286285,
Northern Ireland,stroke,1969,Female,326.7926,
Northern Ireland,stroke,1971,Female,344.6385,
Northern Ireland,stroke,1973,Female,333.091,
Northern Ireland,stroke,1975,Female,312.8914,
Northern Ireland,stroke,1977,Female,314.0173,
Northern Ireland,stroke,1979,Female,276.8789,
Northern Ireland,stroke,1981,Female,252.6917,
Northern Ireland,stroke,1983,Female,238.0132,
Northern Ireland,stroke,1985,Female,189.3352,
Northern Ireland,stroke,1987,Female,191.9112,
Northern Ireland,stroke,1989,Female,183.6019,
Northern Ireland,stroke,1991,Female,171.8968,
Northern Ireland,stroke,1993,Female,164.8413,
Northern Ireland,stroke,1994,Female,170.99994390297678,
Northern Ireland,stroke,1995,Female,161.62677011981648,
Northern Ireland,stroke,1996,Female,157.03105203941158,
Northern Ireland,stroke,1997,Female,150.49079577080693,
Northern Ireland,stroke,1998,Female,148.40391356656377,
Northern Ireland,stroke,1999,Female,156.7554198372089,
Northern Ireland,stroke,2000,Female,139.20161575300054,
Northern Ireland,stroke,2001,Female,140.12124994527028,
Northern Ireland,stroke,2002,Female,141.7226498369412,
Northern Ireland,stroke,2003,Female,134.7094156871897,
Northern Ireland,stroke,2004,Female,124.42125120362857,
Northern Ireland,stroke,2005,Female,110.04743039899179,
Northern Ireland,stroke,2006,Female,109.01189218992114,
Northern Ireland,stroke,2007,Female,109.1742745688058,
Northern Ireland,stroke,2008,Female,106.60030327264361,
Northern Ireland,stroke,2009,Female,93.77730834429266,
Northern Ireland,stroke,2010,Female,93.17299653887716,
Northern Ireland,stroke,2011,Female,83.0193474080418,
Northern Ireland,stroke,2012,Female,80.74194215775074,
Northern Ireland,stroke,2013,Female,76.04165525924444,
Northern Ireland,stroke,2014,Female,66.32978298001422,
Northern Ireland,stroke,2015,Female,63.945020928140764,
Northern Ireland,stroke,2016,Female,62.699505242902234,
Northern Ireland,stroke,2017,Female,61.4970649138992,
Northern Ireland,stroke,2018,Female,57.56229735391261,
Northern Ireland,stroke,2019,Female,50.2885975467091,
Scotland,all_cvd,1969,Male,1480.651,
Scotland,all_cvd,1971,Male,1417.176,
Scotland,all_cvd,1973,Male,1455.633,
Scotland,all_cvd,1975,Male,1381.333,
Scotland,all_cvd,1977,Male,1297.085,
Scotland,all_cvd,1979,Male,1344.063,
Scotland,all_cvd,1981,Male,1248.126,
Scotland,all_cvd,1983,Male,1186.436,
Scotland,all_cvd,1985,Male,1163.32,
Scotland,all_cvd,1987,Male,1096.724,
Scotland,all_cvd,1989,Male,1075.569,
Scotland,all_cvd,1991,Male,971.6486,
Scotland,all_cvd,1993,Male,987.1288,
Scotland,all_cvd,1994,Male,906.8255093906056,
Scotland,all_cvd,1995,Male,882.9103808337363,
Scotland,all_cvd,1996,Male,887.1490060326925,
Scotland,all_cvd,1997,Male,838.7794983140233,
Scotland,all_cvd,1998,Male,801.6296568198253,
Scotland,all_cvd,1999,Male,796.027191929829,
Scotland,all_cvd,2000,Male,741.7015049809305,
Scotland,all_cvd,2001,Male,695.7043943463289,
Scotland,all_cvd,2002,Male,700.5473675850287,
Scotland,all_cvd,2003,Male,696.9174724280274,
Scotland,all_cvd,2004,Male,648.5810695876232,
Scotland,all_cvd,2005,Male,605.6002508196149,
Scotland,all_cvd,2006,Male,561.6534997127209,
Scotland,all_cvd,2007,Male,564.773109121379,
Scotland,all_cvd,2008,Male,524.8349197588005,
Scotland,all_cvd,2009,Male,490.854999315337,
Scotland,all_cvd,2010,Male,482.94974199325054,
Scotland,all_cvd,2011,Male,451.49636393206,
Scotland,all_cvd,2012,Male,436.0017075267376,
Scotland,all_cvd,2013,Male,432.16127451094127,
Scotland,all_cvd,2014,Male,414.20401685832456,
Scotland,all_cvd,2015,Male,433.50539171395405,
Scotland,all_cvd,2016,Male,413.58458903778626,
Scotland,all_cvd,2017,Male,410.3941130098968,
Scotland,all_cvd,2018,Male,404.1731873304333,
Scotland,all_cvd,2019,Male,389.63471352543826,
Scotland,all_cvd,1969,Female,1065.593,
Scotland,all_cvd,1971,Female,976.5259,-
Scotland,all_cvd,1973,Female,994.9348,-
Scotland,all_cvd,1975,Female,918.991,408.4939
Scotland,all_cvd,1977,Female,870.511,427.9182
Scotland,all_cvd,1979,Female,888.612,393.9103
Scotland,all_cvd,1981,Female,814.3022,366.9242
Scotland,all_cvd,1983,Female,777.9233,355.0284
Scotland,all_cvd,1985,Female,762.6289,359.7323
Scotland,all_cvd,1987,Female,716.7131,333.6891
Scotland,all_cvd,1989,Female,706.2087,327.2025
Scotland,all_cvd,1991,Female,652.7794,296.5229
Scotland,all_cvd,1993,Female,663.4879,294.1455
Scotland,all_cvd,1994,Female,610.124041199437,301.4332591091022
Scotland,all_cvd,1995,Female,603.4038942791186,289.4265350767721
Scotland,all_cvd,1996,Female,581.0116577088804,270.4860041565847
Scotland,all_cvd,1997,Female,569.444092015057,252.92121053508066
Scotland,all_cvd,1998,Female,547.6952527033528,244.6609540698105
Scotland,all_cvd,1999,Female,534.8323149065038,239.4486229758193
Scotland,all_cvd,2000,Female,504.6169001724574,214.85695990396368
Scotland,all_cvd,2001,Female,482.482614586402,210.96743354736384
Scotland,all_cvd,2002,Female,490.9196636192982,196.97737487800583
Scotland,all_cvd,2003,Female,469.8155016681487,184.45484675594636
Scotland,all_cvd,2004,Female,448.6948153553279,174.3081302746378
Scotland,all_cvd,2005,Female,425.8002362455538,164.37052215677076
Scotland,all_cvd,2006,Female,398.33240853882114,156.67116477483867
Scotland,all_cvd,2007,Female,383.76960895800397,144.6632590802025
Scotland,all_cvd,2008,Female,376.6247430707627,137.72874410076264
Scotland,all_cvd,2009,Female,352.66925865688575,131.59836194494207
Scotland,all_cvd,2010,Female,333.1258946334355,120.80089077023635
Scotland,all_cvd,2011,Female,319.3102870674371,96.75726902534963
Scotland,all_cvd,2012,Female,321.13486232394865,99.69681319749435
Scotland,all_cvd,2013,Female,306.0665464103354,95.98853058304178
Scotland,all_cvd,2014,Female,289.67768113916134,83.6851213558809
Scotland,all_cvd,2015,Female,307.9125292291263,86.54826262783047
Scotland,all_cvd,2016,Female,287.9332118117526,71.36366682060826
Scotland,all_cvd,2017,Female,290.23776231704505,71.19637191399643
Scotland,all_cvd,2018,Female,279.99361805709066,61.29551454022696
Scotland,all_cvd,2019,Female,274.7350342581933,64.85432090827561
Scotland,chd,1969,Male,,
Scotland,chd,1971,Male,779.3703,
Scotland,chd,1973,Male,817.8948,
Scotland,chd,1975,Male,782.7908,
Scotland,chd,1977,Male,765.4769,
Scotland,chd,1979,Male,758.9706,
Scotland,chd,1981,Male,721.852,
Scotland,chd,1983,Male,720.4457,
Scotland,chd,1985,Male,712.6978,
Scotland,chd,1987,Male,696.0838,
Scotland,chd,1989,Male,665.2706,
Scotland,chd,1991,Male,607.7515,
Scotland,chd,1993,Male,599.1851,
Scotland,chd,1994,Male,550.7771625740485,
Scotland,chd,1995,Male,530.9695109761999,
Scotland,chd,1996,Male,528.7339490411072,
Scotland,chd,1997,Male,489.06544560735153,
Scotland,chd,1998,Male,464.6900876789576,
Scotland,chd,1999,Male,464.0507586002225,
Scotland,chd,2000,Male,419.64278846951976,
Scotland,chd,2001,Male,399.01883385988475,
Scotland,chd,2002,Male,389.2413650680878,
Scotland,chd,2003,Male,388.0224242071621,
Scotland,chd,2004,Male,359.43566825136776,
Scotland,chd,2005,Male,336.96862817502694,
Scotland,chd,2006,Male,303.2304357628324,
Scotland,chd,2007,Male,304.7092359752669,
Scotland,chd,2008,Male,275.01840882623276,
Scotland,chd,2009,Male,258.41843093886234,
Scotland,chd,2010,Male,252.35773316443598,
Scotland,chd,2011,Male,228.6078012196,
Scotland,chd,2012,Male,218.83147296675813,
Scotland,chd,2013,Male,209.88106429349583,
Scotland,chd,2014,Male,197.81659624494617,
Scotland,chd,2015,Male,203.04709126011912,
Scotland,chd,2016,Male,184.7710603174825,
Scotland,chd,2017,Male,185.56083523445375,
Scotland,chd,2018,Male,180.83484872618865,
Scotland,chd,2019,Male,177.0251275828599,
Scotland,chd,1969,Female,,
Scotland,chd,1971,Female,417.6505,
Scotland,chd,1973,Female,440.0806,
Scotland,chd,1975,Female,409.1596,
